DATE,NGDPSAXDCAUQ
1959-07-01,3966.0
1959-10-01,4082.0
1960-01-01,4167.0
1960-04-01,4377.0
1960-07-01,4399.0
1960-10-01,4428.0
1961-01-01,4420.0
1961-04-01,4321.0
1961-07-01,4330.0
1961-10-01,4367.0
1962-01-01,4497.0
1962-04-01,4593.0
1962-07-01,4650.0
1962-10-01,4782.0
1963-01-01,4924.0
1963-04-01,4889.0
1963-07-01,5150.0
1963-10-01,5257.0
1964-01-01,5319.0
1964-04-01,5500.0
1964-07-01,5585.0
1964-10-01,5765.0
1965-01-01,5850.0
1965-04-01,5964.0
1965-07-01,5985.0
1965-10-01,6057.0
1966-01-01,6091.0
1966-04-01,6249.0
1966-07-01,6535.0
1966-10-01,6700.0
1967-01-01,6937.0
1967-04-01,6986.0
1967-07-01,7093.0
1967-10-01,7234.0
1968-01-01,7345.0
1968-04-01,7530.0
1968-07-01,7755.0
1968-10-01,8168.0
1969-01-01,8281.0
1969-04-01,8543.0
1969-07-01,8857.0
1969-10-01,9073.0
1970-01-01,9298.0
1970-04-01,9654.0
1970-07-01,9717.0
1970-10-01,9880.0
1971-01-01,10260.0
1971-04-01,10491.0
1971-07-01,10901.0
1971-10-01,10916.0
1972-01-01,11115.0
1972-04-01,11539.0
1972-07-01,11700.0
1972-10-01,12092.0
1973-01-01,12694.0
1973-04-01,13291.0
1973-07-01,14037.0
1973-10-01,14971.0
1974-01-01,15497.0
1974-04-01,15766.0
1974-07-01,16753.0
1974-10-01,17647.0
1975-01-01,17998.0
1975-04-01,18825.0
1975-07-01,19397.0
1975-10-01,20333.0
1976-01-01,21294.0
1976-04-01,22234.0
1976-07-01,23013.0
1976-10-01,23750.0
1977-01-01,24278.0
1977-04-01,25099.0
1977-07-01,25439.0
1977-10-01,25728.0
1978-01-01,26577.0
1978-04-01,27366.0
1978-07-01,28283.0
1978-10-01,29033.0
1979-01-01,30484.0
1979-04-01,30953.0
1979-07-01,32026.0
1979-10-01,33311.0
1980-01-01,34206.0
1980-04-01,34984.0
1980-07-01,36137.0
1980-10-01,37803.0
1981-01-01,38554.0
1981-04-01,39984.0
1981-07-01,42153.0
1981-10-01,43359.0
1982-01-01,44276.0
1982-04-01,45971.0
1982-07-01,46536.0
1982-10-01,47281.0
1983-01-01,47677.0
1983-04-01,48219.0
1983-07-01,51004.0
1983-10-01,52407.0
1984-01-01,54589.0
1984-04-01,55769.0
1984-07-01,56448.0
1984-10-01,57391.0
1985-01-01,59543.0
1985-04-01,61863.0
1985-07-01,63322.0
1985-10-01,64572.0
1986-01-01,65783.0
1986-04-01,66961.0
1986-07-01,68204.0
1986-10-01,70498.0
1987-01-01,72264.0
1987-04-01,74982.0
1987-07-01,77408.0
1987-10-01,79739.0
1988-01-01,82625.0
1988-04-01,84661.0
1988-07-01,87690.0
1988-10-01,90522.0
1989-01-01,93196.0
1989-04-01,96743.0
1989-07-01,98583.0
1989-10-01,100323.0
1990-01-01,102170.0
1990-04-01,104110.0
1990-07-01,103487.0
1990-10-01,104753.0
1991-01-01,103336.0
1991-04-01,103415.0
1991-07-01,104211.0
1991-10-01,105199.0
1992-01-01,106732.0
1992-04-01,107126.0
1992-07-01,108160.0
1992-10-01,110325.0
1993-01-01,112204.0
1993-04-01,113325.0
1993-07-01,113211.0
1993-10-01,115604.0
1994-01-01,117904.0
1994-04-01,119461.0
1994-07-01,122984.0
1994-10-01,122295.0
1995-01-01,124515.0
1995-04-01,126152.0
1995-07-01,128839.0
1995-10-01,131397.0
1996-01-01,133099.0
1996-04-01,135180.0
1996-07-01,135912.0
