DATE,NGDPRSAXDCAUQ
1959-07-01,62496.0
1959-10-01,63043.0
1960-01-01,67914.0
1960-04-01,69788.0
1960-07-01,69951.0
1960-10-01,69818.0
1961-01-01,70021.0
1961-04-01,69246.0
1961-07-01,68757.0
1961-10-01,69545.0
1962-01-01,71491.0
1962-04-01,72856.0
1962-07-01,73451.0
1962-10-01,74776.0
1963-01-01,76496.0
1963-04-01,75496.0
1963-07-01,78603.0
1963-10-01,80291.0
1964-01-01,80155.0
1964-04-01,82125.0
1964-07-01,82643.0
1964-10-01,84995.0
1965-01-01,85704.0
1965-04-01,87040.0
1965-07-01,86791.0
1965-10-01,87007.0
1966-01-01,86750.0
1966-04-01,87932.0
1966-07-01,90425.0
1966-10-01,91025.0
1967-01-01,94572.0
1967-04-01,94429.0
1967-07-01,96209.0
1967-10-01,97052.0
1968-01-01,96183.0
1968-04-01,99878.0
1968-07-01,101205.0
1968-10-01,104984.0
1969-01-01,104252.0
1969-04-01,106309.0
1969-07-01,108078.0
1969-10-01,110575.0
1970-01-01,112871.0
1970-04-01,115132.0
1970-07-01,114895.0
1970-10-01,115449.0
1971-01-01,116843.0
1971-04-01,117339.0
1971-07-01,121028.0
1971-10-01,120645.0
1972-01-01,119178.0
1972-04-01,121840.0
1972-07-01,121228.0
1972-10-01,122519.0
1973-01-01,125678.0
1973-04-01,125911.0
1973-07-01,127186.0
1973-10-01,130368.0
1974-01-01,130386.0
1974-04-01,127736.0
1974-07-01,129264.0
1974-10-01,129401.0
1975-01-01,129905.0
1975-04-01,133998.0
1975-07-01,132535.0
1975-10-01,130544.0
1976-01-01,136302.0
1976-04-01,136717.0
1976-07-01,137828.0
1976-10-01,139040.0
1977-01-01,138275.0
1977-04-01,140226.0
1977-07-01,139631.0
1977-10-01,139201.0
1978-01-01,140176.0
1978-04-01,141321.0
1978-07-01,143473.0
1978-10-01,144678.0
1979-01-01,148632.0
1979-04-01,146240.0
1979-07-01,147603.0
1979-10-01,150469.0
1980-01-01,151130.0
1980-04-01,151518.0
1980-07-01,152321.0
1980-10-01,154964.0
1981-01-01,155547.0
1981-04-01,157951.0
1981-07-01,161127.0
1981-10-01,160501.0
1982-01-01,159179.0
1982-04-01,160614.0
1982-07-01,159534.0
1982-10-01,157026.0
1983-01-01,155440.0
1983-04-01,155154.0
1983-07-01,159480.0
1983-10-01,162156.0
1984-01-01,166224.0
1984-04-01,168090.0
1984-07-01,169516.0
1984-10-01,170706.0
1985-01-01,173175.0
1985-04-01,177005.0
1985-07-01,179397.0
1985-10-01,178956.0
1986-01-01,180099.0
1986-04-01,179779.0
1986-07-01,180286.0
1986-10-01,183275.0
1987-01-01,185026.0
1987-04-01,187936.0
1987-07-01,191344.0
1987-10-01,195226.0
1988-01-01,196055.0
1988-04-01,196196.0
1988-07-01,197798.0
1988-10-01,200926.0
1989-01-01,202965.0
1989-04-01,207246.0
1989-07-01,208991.0
1989-10-01,208427.0
1990-01-01,210082.0
1990-04-01,210347.0
1990-07-01,209146.0
